IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
NIKODEM,MĘŻCZYZNA,6532
ANTONI,MĘŻCZYZNA,5663
JAN,MĘŻCZYZNA,5638
ALEKSANDER,MĘŻCZYZNA,5625
FRANCISZEK,MĘŻCZYZNA,4965
LEON,MĘŻCZYZNA,4916
JAKUB,MĘŻCZYZNA,4474
IGNACY,MĘŻCZYZNA,4166
MIKOŁAJ,MĘŻCZYZNA,4081
STANISŁAW,MĘŻCZYZNA,3874
FILIP,MĘŻCZYZNA,3506
SZYMON,MĘŻCZYZNA,3269
WOJCIECH,MĘŻCZYZNA,3078
ADAM,MĘŻCZYZNA,2889
TYMON,MĘŻCZYZNA,2782
MARCEL,MĘŻCZYZNA,2759
KACPER,MĘŻCZYZNA,2684
MAKSYMILIAN,MĘŻCZYZNA,2655
OLIWIER,MĘŻCZYZNA,2578
WIKTOR,MĘŻCZYZNA,2347
MICHAŁ,MĘŻCZYZNA,2183
IGOR,MĘŻCZYZNA,1899
JULIAN,MĘŻCZYZNA,1855
MIŁOSZ,MĘŻCZYZNA,1855
TYMOTEUSZ,MĘŻCZYZNA,1724
GABRIEL,MĘŻCZYZNA,1724
OSKAR,MĘŻCZYZNA,1683
PIOTR,MĘŻCZYZNA,1630
DAWID,MĘŻCZYZNA,1276
BRUNO,MĘŻCZYZNA,1186
HUBERT,MĘŻCZYZNA,1159
KRZYSZTOF,MĘŻCZYZNA,1069
NATAN,MĘŻCZYZNA,1065
BARTOSZ,MĘŻCZYZNA,1053
DOMINIK,MĘŻCZYZNA,1022
MATEUSZ,MĘŻCZYZNA,900
CEZARY,MĘŻCZYZNA,886
HENRYK,MĘŻCZYZNA,880
ALAN,MĘŻCZYZNA,869
KAROL,MĘŻCZYZNA,866
TADEUSZ,MĘŻCZYZNA,861
FABIAN,MĘŻCZYZNA,837
TOMASZ,MĘŻCZYZNA,830
MACIEJ,MĘŻCZYZNA,783
TEODOR,MĘŻCZYZNA,761
KSAWERY,MĘŻCZYZNA,752
MILAN,MĘŻCZYZNA,733
ARTUR,MĘŻCZYZNA,722
LEO,MĘŻCZYZNA,669
PAWEŁ,MĘŻCZYZNA,640
DANIEL,MĘŻCZYZNA,630
KAZIMIERZ,MĘŻCZYZNA,588
KUBA,MĘŻCZYZNA,576
WITOLD,MĘŻCZYZNA,570
MARK,MĘŻCZYZNA,568
JÓZEF,MĘŻCZYZNA,566
KAJETAN,MĘŻCZYZNA,564
BORYS,MĘŻCZYZNA,532
BARTŁOMIEJ,MĘŻCZYZNA,530
KAMIL,MĘŻCZYZNA,517
STEFAN,MĘŻCZYZNA,483
KORNEL,MĘŻCZYZNA,456
LEONARD,MĘŻCZYZNA,439
OLAF,MĘŻCZYZNA,434
MIESZKO,MĘŻCZYZNA,416
ERYK,MĘŻCZYZNA,413
PATRYK,MĘŻCZYZNA,410
EMIL,MĘŻCZYZNA,410
GUSTAW,MĘŻCZYZNA,397
FELIKS,MĘŻCZYZNA,388
GRZEGORZ,MĘŻCZYZNA,378
ADRIAN,MĘŻCZYZNA,364
MAKSYM,MĘŻCZYZNA,354
KONSTANTY,MĘŻCZYZNA,352
TOBIASZ,MĘŻCZYZNA,350
RYSZARD,MĘŻCZYZNA,338
KRYSTIAN,MĘŻCZYZNA,325
SEBASTIAN,MĘŻCZYZNA,325
JERZY,MĘŻCZYZNA,320
FLORIAN,MĘŻCZYZNA,302
ROBERT,MĘŻCZYZNA,299
DAVID,MĘŻCZYZNA,285
ALEX,MĘŻCZYZNA,264
DAMIAN,MĘŻCZYZNA,262
REMIGIUSZ,MĘŻCZYZNA,260
OLIVIER,MĘŻCZYZNA,252
MARCIN,MĘŻCZYZNA,244
ARTEM,MĘŻCZYZNA,244
NATANIEL,MĘŻCZYZNA,231
RAFAŁ,MĘŻCZYZNA,229
LIAM,MĘŻCZYZNA,227
ŁUKASZ,MĘŻCZYZNA,225
ALEKS,MĘŻCZYZNA,209
JULIUSZ,MĘŻCZYZNA,209
IWO,MĘŻCZYZNA,204
MATVII,MĘŻCZYZNA,202
JEREMI,MĘŻCZYZNA,201
BŁAŻEJ,MĘŻCZYZNA,196
KONRAD,MĘŻCZYZNA,193
LUCJAN,MĘŻCZYZNA,191
RADOSŁAW,MĘŻCZYZNA,191
ALEXANDER,MĘŻCZYZNA,190
PRZEMYSŁAW,MĘŻCZYZNA,188
SAMUEL,MĘŻCZYZNA,180
BENIAMIN,MĘŻCZYZNA,170
OLEKSANDR,MĘŻCZYZNA,168
ROMAN,MĘŻCZYZNA,164
MAURYCY,MĘŻCZYZNA,152
KORDIAN,MĘŻCZYZNA,150
DORIAN,MĘŻCZYZNA,149
ANDRZEJ,MĘŻCZYZNA,149
MAREK,MĘŻCZYZNA,149
HUGO,MĘŻCZYZNA,147
ALBERT,MĘŻCZYZNA,146
TYMOFII,MĘŻCZYZNA,146
EDWARD,MĘŻCZYZNA,139
GRACJAN,MĘŻCZYZNA,134
WINCENTY,MĘŻCZYZNA,134
OLIVER,MĘŻCZYZNA,132
BOGDAN,MĘŻCZYZNA,128
LUDWIK,MĘŻCZYZNA,128
ALEKSY,MĘŻCZYZNA,122
JĘDRZEJ,MĘŻCZYZNA,119
DAMIR,MĘŻCZYZNA,117
SEWERYN,MĘŻCZYZNA,115
VLADYSLAV,MĘŻCZYZNA,114
MAKS,MĘŻCZYZNA,113
VINCENT,MĘŻCZYZNA,111
ERNEST,MĘŻCZYZNA,110
ARKADIUSZ,MĘŻCZYZNA,108
BRAJAN,MĘŻCZYZNA,106
MAKAR,MĘŻCZYZNA,106
FRYDERYK,MĘŻCZYZNA,106
WŁADYSŁAW,MĘŻCZYZNA,104
JEREMIASZ,MĘŻCZYZNA,104
DANYLO,MĘŻCZYZNA,103
JACEK,MĘŻCZYZNA,102
NAZAR,MĘŻCZYZNA,96
ARON,MĘŻCZYZNA,91
DAVYD,MĘŻCZYZNA,89
MIRON,MĘŻCZYZNA,88
MYKHAILO,MĘŻCZYZNA,88
DENIS,MĘŻCZYZNA,87
DMYTRO,MĘŻCZYZNA,85
TIMUR,MĘŻCZYZNA,84
WINCENT,MĘŻCZYZNA,83
CYPRIAN,MĘŻCZYZNA,81
MAX,MĘŻCZYZNA,81
BERNARD,MĘŻCZYZNA,77
YAROSLAV,MĘŻCZYZNA,71
DARIUSZ,MĘŻCZYZNA,70
MAXIMILIAN,MĘŻCZYZNA,70
NIKITA,MĘŻCZYZNA,70
BOHDAN,MĘŻCZYZNA,70
SZCZEPAN,MĘŻCZYZNA,68
TEO,MĘŻCZYZNA,68
OLGIERD,MĘŻCZYZNA,68
ANDRII,MĘŻCZYZNA,66
IVAN,MĘŻCZYZNA,65
EMILIAN,MĘŻCZYZNA,65
TYTUS,MĘŻCZYZNA,64
MARKO,MĘŻCZYZNA,64
LUKA,MĘŻCZYZNA,64
NORBERT,MĘŻCZYZNA,63
JOACHIM,MĘŻCZYZNA,63
OREST,MĘŻCZYZNA,60
DANIIL,MĘŻCZYZNA,59
DEMIAN,MĘŻCZYZNA,58
BENJAMIN,MĘŻCZYZNA,56
LEONARDO,MĘŻCZYZNA,56
AMADEUSZ,MĘŻCZYZNA,55
LEV,MĘŻCZYZNA,54
NIKOLAS,MĘŻCZYZNA,54
ZBIGNIEW,MĘŻCZYZNA,53
VIKTOR,MĘŻCZYZNA,52
OLIWER,MĘŻCZYZNA,51
LEOPOLD,MĘŻCZYZNA,51
MARCELI,MĘŻCZYZNA,50
LEW,MĘŻCZYZNA,49
MARTIN,MĘŻCZYZNA,49
NOAH,MĘŻCZYZNA,49
KEVIN,MĘŻCZYZNA,47
ZACHARY,MĘŻCZYZNA,47
THEO,MĘŻCZYZNA,46
MIROSŁAW,MĘŻCZYZNA,46
NATHAN,MĘŻCZYZNA,46
KOSMA,MĘŻCZYZNA,46
EDMUND,MĘŻCZYZNA,45
MARIUSZ,MĘŻCZYZNA,45
MATVIY,MĘŻCZYZNA,45
ARSEN,MĘŻCZYZNA,45
ZAKHAR,MĘŻCZYZNA,44
SYLWESTER,MĘŻCZYZNA,44
OSCAR,MĘŻCZYZNA,44
OLEK,MĘŻCZYZNA,43
FELIX,MĘŻCZYZNA,43
OKTAWIAN,MĘŻCZYZNA,43
SVIATOSLAV,MĘŻCZYZNA,43
MICHAEL,MĘŻCZYZNA,42
ILLIA,MĘŻCZYZNA,42
BRUNON,MĘŻCZYZNA,41
BOLESŁAW,MĘŻCZYZNA,41
GNIEWKO,MĘŻCZYZNA,41
ZIEMOWIT,MĘŻCZYZNA,41
JONASZ,MĘŻCZYZNA,40
MAKSIM,MĘŻCZYZNA,40
BOGUMIŁ,MĘŻCZYZNA,40
JAROSŁAW,MĘŻCZYZNA,39
ANTONIO,MĘŻCZYZNA,38
FRANEK,MĘŻCZYZNA,37
FELICJAN,MĘŻCZYZNA,37
VICTOR,MĘŻCZYZNA,37
KASPIAN,MĘŻCZYZNA,37
NOE,MĘŻCZYZNA,36
ELIASZ,MĘŻCZYZNA,35
NICOLAS,MĘŻCZYZNA,35
DENYS,MĘŻCZYZNA,34
MYROSLAV,MĘŻCZYZNA,34
KSAWIER,MĘŻCZYZNA,34
JONATAN,MĘŻCZYZNA,34
LESZEK,MĘŻCZYZNA,34
KLEMENS,MĘŻCZYZNA,34
DANYIL,MĘŻCZYZNA,33
THOMAS,MĘŻCZYZNA,33
VOLODYMYR,MĘŻCZYZNA,32
KAI,MĘŻCZYZNA,32
KORNELIUSZ,MĘŻCZYZNA,32
NOEL,MĘŻCZYZNA,31
CZESŁAW,MĘŻCZYZNA,31
KASJAN,MĘŻCZYZNA,30
STANISLAV,MĘŻCZYZNA,30
MYRON,MĘŻCZYZNA,30
HENRY,MĘŻCZYZNA,30
PLATON,MĘŻCZYZNA,30
BENEDYKT,MĘŻCZYZNA,30
MARIAN,MĘŻCZYZNA,29
MYKOLA,MĘŻCZYZNA,29
GNIEWOMIR,MĘŻCZYZNA,29
EMANUEL,MĘŻCZYZNA,28
BRONISŁAW,MĘŻCZYZNA,28
IVO,MĘŻCZYZNA,28
KIRILL,MĘŻCZYZNA,27
OSTAP,MĘŻCZYZNA,27
ROCH,MĘŻCZYZNA,27
YAN,MĘŻCZYZNA,27
OLEKSII,MĘŻCZYZNA,27
BOGUSŁAW,MĘŻCZYZNA,26
WIT,MĘŻCZYZNA,26
NIKO,MĘŻCZYZNA,26
AARON,MĘŻCZYZNA,26
LUCA,MĘŻCZYZNA,25
HEKTOR,MĘŻCZYZNA,25
SŁAWOMIR,MĘŻCZYZNA,24
AUGUSTYN,MĘŻCZYZNA,24
JACOB,MĘŻCZYZNA,24
WILLIAM,MĘŻCZYZNA,23
AUGUST,MĘŻCZYZNA,23
